3.51, 56.9166, 8.0844
3.53, 57.0463, 8.3462
3.55, 57.2238, 7.8749
3.57, 57.3615, 8.1367
3.59, 57.5448, 7.7283
3.61, 57.6608, 8.0425
3.63, 57.8520, 7.4456
3.65, 57.9621, 7.9587
3.67, 58.1527, 7.2885
3.69, 58.2622, 7.9482
3.71, 58.4342, 7.1105
3.73, 58.5571, 7.5712
3.75, 58.7124, 7.0686
3.77, 58.8486, 7.2361
3.79, 58.9661, 7.0686
3.81, 59.1302, 6.7858
3.83, 59.2328, 7.1000
3.85, 59.4041, 6.5450
3.87, 59.5011, 7.1105
3.89, 59.6432, 6.3670
3.91, 59.7703, 6.6288
3.93, 59.8785, 6.4193
3.95, 60.0328, 6.1470
3.97, 60.1172, 6.5450
3.99, 60.2555, 5.8434
4.01, 60.3701, 6.1785
4.03, 60.4601, 5.9690
4.05, 60.6194, 5.5711
4.07, 60.6938, 6.1889
4.09, 60.7926, 5.4768
4.11, 60.9425, 5.2883
4.13, 61.0087, 5.8957
4.15, 61.0999, 5.0684
4.17, 61.2524, 4.9847
4.19, 61.3185, 5.7177
4.21, 61.3793, 4.9114
4.23, 61.5274, 4.3878
4.25, 61.6135, 5.2360
4.27, 61.6553, 4.9951
4.29, 61.7565, 4.0422
4.31, 61.8817, 4.3982
4.33, 61.9316, 4.9114
4.35, 61.9826, 4.1574
4.37, 62.0808, 3.6338
4.39, 62.1791, 4.0317
4.41, 62.2232, 4.2935
4.43, 62.2802, 3.6338
4.45, 62.3615, 3.3720
4.47, 62.4315, 3.5291
4.49, 62.4928, 3.5605
4.51, 62.5371, 3.3510
4.53, 62.5950, 3.0159
4.55, 62.6564, 2.9322
4.57, 62.7095, 2.9636
4.59, 62.7548, 2.8798
4.61, 62.8106, 2.6599
4.63, 62.8503, 2.6913
4.65, 62.8848, 2.4714
4.67, 62.9250, 2.1991
4.69, 62.9759, 2.1468
4.71, 63.0150, 2.2515
4.73, 63.0311, 2.1468
4.75, 63.0629, 1.7383
4.77, 63.0934, 1.6441
4.79, 63.1153, 1.6127
4.81, 63.1362, 1.4347
4.83, 63.1613, 1.3090
4.85, 63.1820, 1.2776
4.87, 63.1931, 1.1833
4.89, 63.2010, 0.9948
4.91, 63.2109, 0.7854
4.93, 63.2182, 0.6807
4.95, 63.2215, 0.5760
4.97, 63.2234, 0.4294
4.99, 63.2236, 0.3142
5.01, 63.2230, 0.2094
